-46.038,3.670,730.319,178.5198,-2.6376,-178.4188
-23.727,24.386,730.686,179.1231,-2.1038,-178.4433
-67.983,-16.838,730.288,178.1069,-2.5443,-178.3744
-25.377,-18.640,728.151,178.4155,-2.9622,-178.3874
-66.175,26.396,731.791,178.4735,-2.4167,-178.4105
-44.125,2.614,759.717,178.5223,-2.6333,-178.4183
-47.121,4.785,700.243,178.4786,-2.6129,-178.4182
-3.462,1.732,728.614,179.8062,-2.8175,-178.4570
-88.171,5.565,731.872,178.4090,-2.3953,-178.4001
-76.987,76.689,733.781,-177.4044,-0.3460,-178.3236
-14.809,-68.284,719.796,174.0880,-4.5924,-178.2635
27.257,35.214,726.564,-179.2611,-6.3963,-178.3744
-119.249,-27.181,727.259,176.3516,1.7616,-178.5437
-42.820,3.285,730.289,178.4041,-2.3835,-173.4250
-49.585,4.682,730.517,178.5287,-2.7396,176.6109
-34.710,74.951,734.051,-177.2481,0.1132,-178.3047
27.197,-70.103,716.382,175.3995,-5.8275,-178.1726
69.643,33.408,721.524,-179.4508,-3.6687,-178.2884
-77.075,-29.239,728.898,176.7623,1.1068,-178.5517
-0.117,5.064,728.848,-179.9109,-2.2175,-173.4510
-7.255,-0.932,728.532,179.5803,-3.0367,176.5738
-119.491,78.379,733.999,-177.4145,-0.2705,-178.3076
-57.149,-66.619,723.119,173.8477,-4.4265,-178.2680
-14.584,36.967,731.323,-179.6829,-6.5472,-178.3605
-161.673,-25.224,726.394,176.6494,1.7905,-178.5491
-84.808,1.508,731.583,178.1582,-2.1926,-173.4015
-91.221,10.194,732.117,178.5690,-2.5118,176.6211
-46.047,3.673,730.305,178.5202,-2.6181,-178.4206
