-420.356,-785.551,255.635,-179.2687,-1.8844,115.0497
-391.368,-776.016,255.539,-179.2778,-1.8850,115.0524
-391.373,-776.014,255.484,-176.5008,-4.0254,114.8855
-405.597,-739.782,255.449,-176.5060,-4.0246,114.8867
-405.589,-739.783,255.413,-174.7062,-0.1266,114.8231
-387.208,-729.793,255.367,-174.7100,-0.1286,109.4322
-374.032,-747.789,274.888,-174.7139,-0.1284,109.4330
-374.038,-747.789,274.857,-174.4311,0.6782,102.0839
-374.032,-707.045,274.811,-174.4377,0.6789,118.8026
-361.695,-697.528,274.775,-174.0256,-1.2291,120.8442
-361.696,-721.461,258.384,-174.0306,-1.2282,120.8444
-361.691,-721.462,242.565,-172.6978,-1.6776,123.9937
-361.699,-721.461,242.495,-173.3984,0.8065,106.1821
-342.294,-753.059,242.469,-173.3996,0.8065,106.1817
-342.303,-753.065,273.534,-171.8829,-3.4012,107.4352
-326.305,-753.074,273.495,-173.5302,-2.4764,119.3870
-326.299,-753.075,273.459,-172.7005,-0.9942,120.7556
-326.299,-737.824,282.755,-173.8961,-3.9385,120.1464
-377.983,-725.347,282.728,-174.2352,-2.5582,120.1582
-377.988,-725.345,282.698,-173.6921,-4.6152,120.1436
-377.984,-725.349,282.675,-173.9354,-4.9615,117.0620
-377.981,-725.353,282.637,-173.0061,1.0806,117.1288
