143.714,82.389,616.168,-0.8226,-1.0918,-179.9589
159.393,56.005,615.220,-0.7227,-1.0376,-179.9690
116.763,79.485,626.831,0.8656,1.9048,179.9988
81.514,61.836,625.514,0.8984,1.8725,179.9935
121.418,106.586,616.082,4.0852,-0.8504,179.8574
125.240,67.547,618.055,4.1306,-0.5519,174.4950
147.872,71.469,636.780,4.1749,-0.6419,174.4817
149.361,51.672,636.306,4.8821,-0.6683,167.1156
136.102,84.540,634.676,4.6285,-1.7928,-176.2222
114.970,71.665,642.235,4.2794,0.0198,-174.0170
129.442,89.970,624.686,4.3470,-0.0484,-174.0480
117.600,115.758,610.794,5.5410,0.5137,-170.8380
137.338,52.310,606.639,5.8058,-0.5138,171.2146
174.659,56.930,605.192,5.7806,-0.5761,171.2018
112.142,62.819,653.475,4.8236,3.7731,172.8804
156.933,88.810,645.649,4.3710,1.3304,-175.4061
172.196,113.890,640.387,5.5222,0.1274,-174.1378
129.801,67.145,659.917,3.4878,2.6584,-174.5761
100.448,91.684,652.603,3.6967,1.3309,-174.6352
70.110,87.138,658.838,3.4675,3.4315,-174.4903
65.601,70.398,659.575,2.8543,3.7399,-177.5757
140.909,116.506,641.075,6.1207,-1.5275,-177.9180
